date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,flat_wear_rs,prana_wear_rs,elec_saving_rs,alt_extra_rs,wear_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-06-05,14268626.44164733,13936205.079869945,332421.3617773857,14268626.44164733,13927188.120269945,0.0,0.0,0.0,9016.959600000002,341438.3213773854,0.0,9016.959600000002,1895.9615760000006,1897.99501225,78.998399,82.884367,-85914.25850340119,9999.25,3464.3757291666666,0.5300662517547607
2026-06-06,15131378.053528061,15020159.305570126,111218.74795793556,15131378.053528061,14941157.188450126,0.0,0.0,0.0,79002.11712000001,190220.86507793516,0.0,79002.11712000001,1895.9615760000006,1902.05677225,78.998399,84.269391,-116535.53741496592,9600.62,3865.84125,0.6580507755279541
2026-06-07,13212637.15072645,13130235.27858615,82401.87214030139,13212637.15072645,13023735.60218115,0.0,0.0,0.0,106499.67640500002,188901.54854530096,0.0,106499.67640500002,1895.9615760000006,1902.0542194999998,78.998399,85.0,-132688.45748299314,9976.82,2972.990625,0.8805389404296875
2026-06-08,14996200.682844369,14562926.596370455,433274.08647391386,14996200.682844369,14527645.288790455,0.0,0.0,0.0,35281.30758,468555.39405391365,0.0,35281.30758,1895.9615760000006,1900.0794717499996,78.998399,83.456554,-98564.65136054414,9600.38,3802.9389583333336,0.7579867839813232
2026-06-09,15023205.399339903,14846842.211156989,176363.18818291463,15023205.399339903,14750274.67737364,0.0,0.0,0.0,96567.53378334802,272930.7219662629,0.0,96567.53378334802,1895.9615760000006,1902.3263729999999,78.998399,85.0,-132688.45748299314,9900.36,3815.5051041666666,0.724698543548584
2026-06-10,14860554.784190973,14606888.126764918,253666.65742605552,14860554.784190973,14572766.467939917,0.0,0.0,0.0,34121.658825000006,287788.31625105627,0.0,34121.658825000006,1895.9615760000006,1900.1390049999995,78.998399,83.456554,-98564.65136054414,9399.21,3739.818645833333,0.6987996101379395
2026-06-11,11320939.467435567,11454492.373574415,-133552.9061388485,11320939.467435567,11441779.861574415,0.0,0.0,0.0,12712.511999999999,-120840.39413884841,0.0,12712.511999999999,1895.9615760000006,1900.7173149999999,78.998399,82.884367,-85914.25850340119,4976.41,2092.7240625,0.7277822494506836
2026-06-12,12167295.510488296,12007847.338478483,159448.17200981267,12167295.510488296,11992663.338878483,0.0,0.0,0.0,15183.9996,174632.17160981335,0.0,15183.9996,1895.9615760000006,1900.4558009999998,78.998399,82.884367,-85914.25850340119,9974.67,2486.5602083333333,0.925180196762085
2026-06-13,11914019.766468506,11862300.51408721,51719.25238129683,11914019.766468506,11850036.51408721,0.0,0.0,0.0,12263.999999999998,63983.25238129683,0.0,12263.999999999998,1895.9615760000006,1900.233832,78.998399,82.884367,-85914.25850340119,5100.13,2368.703020833333,0.9425187110900879
2026-06-14,11615387.694411723,11597664.352686215,17723.34172550775,11615387.694411723,11576126.435378179,0.0,0.0,0.0,21537.917308036966,39261.25903354399,0.0,21537.917308036966,1895.9615760000006,1900.0937227499999,78.998399,82.884367,-85914.25850340119,4099.72,2229.7401041666667,0.8109955787658691
2026-06-15,13671696.288805043,13306198.192473937,365498.0963311065,13671696.288805043,13293934.192473937,0.0,0.0,0.0,12263.999999999998,377762.0963311065,0.0,12263.999999999998,1895.9615760000006,1900.8257485,78.998399,82.884367,-85914.25850340119,9600.42,3186.6053125,0.7721319198608398
2026-06-16,16502134.866126461,16079484.689853381,422650.1762730796,16502134.866126461,16037628.391975861,0.0,0.0,0.0,41856.297877520265,464506.4741505999,0.0,41856.297877520265,1895.9615760000006,1900.9601169999996,78.998399,83.456554,-98564.65136054414,9600.62,4503.697604166667,0.7324545383453369
2026-06-17,18775577.185288496,18420018.102714892,355559.08257360384,18775577.185288496,18327995.954664893,0.0,0.0,0.0,92022.14805,447581.23062360287,0.0,92022.14805,1895.9615760000006,1902.5824864999997,78.998399,85.0,-132688.45748299314,7599.46,5561.601979166666,0.6623272895812988
2026-06-18,20871983.759888746,20612037.353730153,259946.40615859255,20871983.759888746,20521985.376435153,0.0,0.0,0.0,90051.97729500002,349998.38345359266,0.0,90051.97729500002,1895.9615760000006,1900.4055362500003,78.998399,85.0,-132688.45748299314,7950.57,6537.126041666666,0.6892611980438232
2026-06-19,19377778.669535734,19049886.309854656,327892.3596810773,19377778.669535734,18965136.366929658,0.0,0.0,0.0,84749.94292500001,412642.302606076,0.0,84749.94292500001,1895.9615760000006,1898.907295,78.998399,85.0,-132688.45748299314,9600.74,5841.8253125,0.6299915313720703
2026-06-20,20486381.43529237,20193969.849472217,292411.58582015336,20486381.43529237,20105685.695362218,0.0,0.0,0.0,88284.15411,380695.7399301529,0.0,88284.15411,1895.9615760000006,1899.6760977499998,78.998399,85.0,-132688.45748299314,9269.75,6357.693125000001,0.6345744132995605
2026-06-21,16661926.408542927,16387984.915339792,273941.4932031352,16661926.408542927,16298585.983392283,0.0,0.0,0.0,89398.9319475089,363340.42515064403,0.0,89398.9319475089,1895.9615760000006,1898.8821297499999,78.998399,85.0,-132688.45748299314,9600.48,4578.053645833334,0.704636812210083
2026-06-22,15755974.413621001,15475204.7350428,280769.6785782017,15755974.413621001,15466250.068642799,0.0,0.0,0.0,8954.6664,289724.34497820213,0.0,8954.6664,1895.9615760000006,1899.12101425,78.998399,82.884367,-85914.25850340119,9600.03,4156.485625,0.8722903728485107
2026-06-23,14961161.372039903,14660987.62467169,300173.7473682128,14961161.372039903,14623063.01508919,0.0,0.0,0.0,37924.609582499994,338098.3569507133,0.0,37924.609582499994,1895.9615760000006,1900.94119275,78.998399,83.58816,-101474.30782312923,9600.88,3786.6340625,0.7269251346588135
2026-06-24,16208422.449678933,15804048.98864302,404373.46103591286,16208422.449678933,15776381.512583021,0.0,0.0,0.0,27667.476059999997,432040.9370959122,0.0,27667.476059999997,1895.9615760000006,1900.24957,78.998399,83.361567,-96464.59863945562,9229.71,4367.023958333333,0.8298461437225342
2026-06-25,16947604.678391002,16510275.665860778,437329.0125302244,16947604.678391002,16460544.660903277,0.0,0.0,0.0,49731.004957499994,487060.01748772524,0.0,49731.004957499994,1895.9615760000006,1901.2650085,78.998399,83.851298,-107291.9846938774,9600.61,4710.98875,0.9389102458953857
2026-06-26,20064661.491611525,19759159.16720656,305502.3244049661,20064661.491611525,19672544.51431156,0.0,0.0,0.0,86614.652895,392116.9772999659,0.0,86614.652895,1895.9615760000006,1902.4077232499997,78.998399,85.0,-132688.45748299314,9000.32,6161.453541666667,0.6684253215789795
2026-06-27,21871886.245836303,21642243.14563542,229643.10020088404,21871886.245836303,21555504.52192542,0.0,0.0,0.0,86738.62371000001,316381.72391088307,0.0,86738.62371000001,1895.9615760000006,1898.83925025,78.998399,85.0,-132688.45748299314,8522.18,7002.412187500001,0.6537885665893555
